3220024,14.97,'Hex head cap screw M12x1.25-40 (box/50)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',4,'Hex head cap screw M12x1.25-40 (box/50)',5.99                                   
3247298,9.98,'Hex head cap screw M10x1.5-50 (box/50)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',105,'Hex head cap screw M10x1.5-50 (box/50)',5.49                                    
3363005,8.49,'Hex head cap screw M5x0.8-10 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',198,'Hex head cap screw M5x0.8-10 (box/100)',7.99                                    
3222079,12.74,'Hex head cap screw M8x1-10 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',181,'Hex head cap screw M8x1-10 (box/100)',9.99                                       
3391764,16.98,'Hex head cap screw M10x1.25-10 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',183,'Hex head cap screw M10x1.25-10 (box/100)',10.99                              
3334398,8.49,'Hex head cap screw M5x0.8-15 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',183,'Hex head cap screw M5x0.8-15 (box/100)',7.99                                    
3367988,16.98,'Hex head cap screw M10x1.5-15 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',19,'Hex head cap screw M10x1.5-15 (box/100)',10.99                                 
3331167,12.74,'Hex head cap screw M8x1.25-20 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',29,'Hex head cap screw M8x1.25-20 (box/100)',9.99                                  
3261383,8.49,'Hex head cap screw M5x0.8-25 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',14,'Hex head cap screw M5x0.8-25 (box/100)',7.99                                     
3241833,16.98,'Hex head cap screw M10x1.25-25 (box/100)','https://www.mcmaster.com/mvB/Contents/gfx/ImageCache/913/91309A628p1-b01-digital@100p_636824767630548193.png',140,'Hex head cap screw M10x1.25-25 (box/100)',10.99                              
